driverId,driverRef,nationality,raceId,pointsSeason,positionSeason,wins,constructorId,positionOrder,pointsRace,laps,rank,fastestLapTime,fastestLapSpeed,statusId,mean_stop,stops,year,round,date,country,age,minQ,ConstructorSeasonPoints,ConstructorSeasonPosition,ConstructorWins,ConstructorRacePoints,nextPodium,nextTop10,qualifyPosition
1,hamilton,British,969.0,18.0,2.0,0.0,131.0,2.0,18.0,57.0,6.0,1:27.033,219.351,1.0,7559.666666666667,1,2017,1,2017-03-26,Australia,32.214213844226784,91.67800000000001,33.0,2.0,0.0,33.0,True,True,1.0
822,bottas,Finnish,969.0,15.0,3.0,0.0,131.0,3.0,15.0,57.0,2.0,1:26.593,220.465,1.0,7743.666666666667,1,2017,1,2017-03-26,Australia,27.57619937438825,91.86500000000001,33.0,2.0,0.0,33.0,False,True,3.0
1,hamilton,British,842.0,22.0,3.0,0.0,1.0,8.0,4.0,56.0,5.0,1:41.512,196.575,1.0,15642.333333333334,4,2011,2,2011-04-10,Malaysia,26.253790290012798,94.46300000000001,48.0,2.0,0.0,22.0,True,True,3.0
18,button,British,842.0,26.0,2.0,0.0,1.0,2.0,18.0,56.0,4.0,1:41.264,197.057,1.0,13642.8,3,2011,2,2011-04-10,Malaysia,31.223091507696942,94.421,48.0,2.0,0.0,22.0,False,True,2.0
1,hamilton,British,841.0,18.0,2.0,0.0,1.0,2.0,18.0,58.0,8.0,1:30.314,211.382,1.0,11817.0,2,2011,1,2011-03-27,Australia,26.21545959191496,94.974,26.0,2.0,0.0,26.0,False,True,2.0
18,button,British,841.0,8.0,6.0,0.0,1.0,6.0,8.0,58.0,5.0,1:29.883,212.396,1.0,12742.0,3,2011,1,2011-03-27,Australia,31.1847608095991,95.2,26.0,2.0,0.0,26.0,True,True,4.0
1,hamilton,British,843.0,47.0,2.0,1.0,1.0,1.0,25.0,56.0,2.0,1:40.415,195.424,1.0,12564.4,3,2011,3,2011-04-17,China,26.27295563906172,85.595,85.0,2.0,1.0,37.0,False,True,4.0
18,button,British,843.0,38.0,3.0,0.0,1.0,4.0,12.0,56.0,3.0,1:40.623,195.021,1.0,13327.0,3,2011,3,2011-04-17,China,31.24225685674586,85.982,85.0,2.0,1.0,37.0,False,True,6.0
1,hamilton,British,844.0,59.0,2.0,1.0,1.0,4.0,12.0,58.0,4.0,1:30.108,213.264,1.0,16747.0,4,2011,4,2011-05-08,Turkey,26.330451686208477,81.961,105.0,2.0,1.0,20.0,True,True,3.0
18,button,British,844.0,46.0,4.0,0.0,1.0,6.0,8.0,58.0,13.0,1:31.167,210.786,1.0,13257.2,3,2011,4,2011-05-08,Turkey,31.29975290389262,81.99600000000001,105.0,2.0,1.0,20.0,True,True,5.0
